age,age class,b,s
0,1,0,0.985
1,1,0,0.985
2,1,0,0.985
3,1,0,0.985
4,1,0,0.985
5,1,0,0.985
6,1,0,0.985
7,2,0,0.965
8,2,0,0.965
9,2,0,0.965
10,2,0,0.965
11,3,0,0.965
12,2,0,0.965
13,2,0,0.965
14,2,0,0.965
15,2,0,0.965
16,2,0,0.965
17,3,0,0.965
18,3,0,0.965
19,3,100,0.965
20,3,0,0
