age,age class,b,s
0,0,0,0.54
1,1,0,0.82
2,1,0,0.82
3,2,0.66,0.82
4,2,0.66,0.82
5,2,0.66,0.82
6,2,0.66,0.82
7,2,0.66,0.82
8,2,0.66,0.82
9,2,0.66,0.82
10,2,0.66,0.82
11,2,0.66,0.82
12,2,0.66,0.82
13,2,0.66,0.82
14,2,0.66,0.82
15,2,0.66,0.82
16,3,0,0.82
17,3,0,0.82
18,3,0,0.82
19,3,0,0.82
20,4,0,0
