age,age class,b,s
0,1,0,1
1,2,16.5,0.89
2,3,16.5,0.82
3,3,16.5,0.82
4,3,16.5,0.82
5,3,16.5,0.82
6,3,16.5,0.82
7,3,16.5,0.82
8,3,16.5,0.82
9,3,16.5,0.82
10,3,16.5,0.82
11,3,16.5,0.82
12,3,16.5,0.82
13,3,16.5,0.82
14,3,16.5,0.82
15,3,16.5,0.82
16,3,16.5,0.82
17,3,16.5,0.82
18,3,16.5,0.82
19,3,16.5,0.82
20,3,16.5,0
