age,age class,b,s
0,1,0,0.72
1,1,0,0.95
2,1,0,0.95
3,1,2.4,0.95
4,1,2.4,0.95
5,1,2.4,0.95
6,2,2.4,0.95
7,2,2.4,0.95
8,2,2.4,0.95
9,2,2.4,0.95
10,2,2.4,0.95
11,3,2.4,0.85
12,3,2.4,0.75
13,3,2.4,0.65
14,3,2.4,0.55
15,3,2.4,0.45
16,4,2.4,0.35
17,4,2.4,0.25
18,4,2.4,0.15
19,4,2.4,0.05
20,4,0,0
