age,age class,b,s
0,1,0,0.32
1,2,1,0.865
2,2,1,0.865
3,2,1,0.865
4,3,0.92,0.875
5,3,0.92,0.875
6,3,0.92,0.875
7,3,0.92,0.875
8,3,0.92,0.875
9,4,0.9,0.875
10,4,0.9,0.875
11,4,0.9,0.875
12,4,0.9,0.875
13,4,0.9,0.875
14,4,0.9,0.875
15,4,0.9,0.875
16,5,,0
