age,age class,b,s
0,0,0,0.32
1,1,1,0.865
2,1,1,0.865
3,1,1,0.865
4,1,0.92,0.875
5,1,0.92,0.875
6,2,0.92,0.875
7,2,0.92,0.875
8,2,0.92,0.875
9,2,0.9,0.875
10,2,0.9,0.875
11,3,0.9,0.875
12,3,0.9,0.875
13,3,0.9,0.875
14,3,0.9,0.875
15,3,0.9,0.875
16,4,0,0
17,4,0,0
18,4,0,0
19,4,0,0
20,4,0,0
