age,age class,b,s
0,0,0,0.2
1,1,12,0.3
2,2,14,0.4
3,3,8,0.2
4,3,0,0.2
5,3,0,0.2
6,3,0,0.2
7,3,0,0.2
8,3,0,0.2
9,3,0,0.2
10,3,0,0
